actinium,ac
aluminum,al
americium,am
antimony,sb
argon,ar
arsenic,as
astatine,at
barium,ba
berkelium,bk
beryllium,be
bismuth,bi
bohrium,bh
boron,b
bromine,br
cadmium,cd
calcium,ca
californium,cf
carbon,c
cerium,ce
cesium,cs
chlorine,cl
chromium,cr
cobalt,co
copper,cu
curium,cm
darmstadtium,ds
dubnium,db
dysprosium,dy
einsteinium,es
erbium,er
europium,eu
fermium,fm
fluorine,f
francium,fr
gadolinium,gd
gallium,ga
germanium,ge
gold,au
hafnium,hf
hassium,hs
helium,he
holmium,ho
hydrogen,h
indium,in
iodine,i
iridium,ir
iron,fe
krypton,kr
lanthanum,la
lawrencium,lr
lead,pb
lithium,li
lutetium,lu
magnesium,mg
manganese,mn
meitnerium,mt
mendelevium,md
mercury,hg
molybdenum,mo
neodymium,nd
neon,ne
neptunium,np
nickel,ni
niobium,nb
nitrogen,n
nobelium,no
osmium,os
oxygen,o
palladium,pd
phosphorus,p
platinum,pt
plutonium,pu
polonium,po
potassium,k
praseodymium,pr
promethium,pm
protactinium,pa
radium,ra
radon,rn
rhenium,re
rhodium,rh
roentgenium,rg
rubidium,rb
ruthenium,ru
rutherfordium,rf
samarium,sm
scandium,sc
seaborgium,sg
selenium,se
silicon,si
silver,ag
sodium,na
strontium,sr
sulfur,s
tantalum,ta
technetium,tc
tellurium,te
terbium,tb
thallium,tl
thorium,th
thulium,tm
tin,sn
titanium,ti
tungsten,w
ununoctium,uuo
ununpentium,uup
ununseptium,uus
ununtrium,uut
uranium,u
vanadium,v
xenon,xe
ytterbium,yb
yttrium,y
zinc,zn
zirconium,zr
copernicium,cn
flerovium,fl
livermorium,lv
